2026-02-12 06:50:23 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 06:50:23 | INFO     | core.logging:_log:73 | Circuit breaker entering HALF_OPEN state
2026-02-12 06:50:23 | INFO     | core.logging:_log:73 | Circuit breaker CLOSED for any_func
2026-02-12 06:50:23 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 4 iterations
2026-02-12 06:51:27 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 6 iterations
2026-02-12 06:52:07 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 06:52:07 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 06:52:07 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 06:52:07 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 06:52:07 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 06:52:07 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 06:53:35 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 06:53:35 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 06:53:35 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 06:53:35 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 06:53:35 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 06:53:35 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 06:53:35 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 06:53:35 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 4 iterations
2026-02-12 06:56:30 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 06:56:30 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 06:56:30 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 06:56:30 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 06:56:30 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 06:56:30 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 06:56:35 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 07:02:45 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:02:45 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 07:02:45 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 07:02:45 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 07:02:45 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 07:02:46 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 07:03:04 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:03:04 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 07:03:04 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 07:03:04 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 07:03:04 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 07:03:04 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 07:03:04 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 07:03:04 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 4 iterations
2026-02-12 07:03:07 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:03:07 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 6 iterations
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 07:04:30 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 07:04:30 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 4 iterations
2026-02-12 07:04:30 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:04:30 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 6 iterations
2026-02-12 07:05:00 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:05:00 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 07:05:00 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 07:05:00 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 07:05:00 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 07:05:00 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 07:05:01 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 07:05:01 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 4 iterations
2026-02-12 07:05:01 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 07:05:01 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 6 iterations
2026-02-12 07:23:04 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 6 iterations
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: drop\s+table
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: -100
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 0
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: invalid_price - Price: 20000000
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: input_too_long - Length: 15000
2026-02-12 23:53:10 | ERROR    | core.logging:_log:73 | Circuit breaker OPEN for failing_func
2026-02-12 23:53:10 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 4 iterations
2026-02-12 23:53:10 | WARNING  | core.logging:_log:73 | Security: injection_attempt - Pattern: <script.*?>.*?</script>
2026-02-12 23:53:10 | ERROR    | core.logging:_log:73 | Loop limit exceeded: 6 iterations
